,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Garage,Basement,Year Remod/Add_bis,Renovated before sale,Lot Area**0.5,Lot Area**2,Lot Area**3,Garage Area**0.5,Garage Area**2,Garage Area**3,Year Remod/Add**0.5,Year Remod/Add**2,Year Remod/Add**3
11,2901,916477010,20,RL,95.0,13618,No,Reg,Lvl,Corner,Gtl,Timber,Norm,1Fam,1Story,8,1.791759469228055,2.833213344056216,2006,Gable,VinylSd,VinylSd,Stone,5.293304824724492,4,3,PConc,5,1.3862943611198906,GLQ,7.208600337960199,Unf,5.937536205082426,1728.0,5,Y,SBrkr,7.581209826196346,0.0,0,7.581209826196346,0.6931471805599453,2,0.0,1.3862943611198906,4,2.1972245773362196,Typ,1.0986122886681098,Attchd,2.833213344056216,Fin,3.0,714.0,Y,5.153291594497779,3.6635616461296463,0.0,0,No,0,11,2006,New,Partial,12.676079399771027,Yes,Yes,0.6931471805599453,Yes,116.69618674146983,185449924,2525457065032,26.720778431774775,509796.0,363994344.0,44.78839135311738,4024036,8072216216
12,508,528431020,20,RL,86.0,11194,No,IR1,Lvl,Inside,Gtl,Somerst,PosN,1Fam,1Story,8,1.791759469228055,2.6390573296152584,2008,Gable,VinylSd,VinylSd,Stone,5.484796933490655,4,3,PConc,4,1.0986122886681098,Unf,0.0,Unf,7.436617265234227,1696.0,5,Y,SBrkr,7.436617265234227,0.0,0,7.436617265234227,0.0,2,0.0,1.3862943611198906,4,2.0794415416798357,Typ,0.0,Attchd,2.6390573296152584,RFn,3.0,972.0,Y,4.795790545596741,4.04305126783455,0.0,0,No,0,9,2009,WD ,Normal,12.524530013005734,Yes,Yes,0.0,Yes,105.80170130957252,125305636,1402671289384,31.176914536239792,944784.0,918330048.0,44.81071300481616,4032064,8096384512
13,785,905377130,30,RL,68.0,12342,No,IR1,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,4,1.791759469228055,4.406719247264253,1950,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,0.6931471805599453,BLQ,5.572154032177765,Unf,6.396929655216146,861.0,5,Y,SBrkr,6.759255270663693,0.0,0,6.759255270663693,0.0,1,0.0,0.6931471805599453,3,1.6094379124341003,Typ,0.0,Detchd,4.110873864173311,Unf,2.0,539.0,Y,5.0689042022202315,0.0,0.0,0,No,0,3,2009,WD ,Normal,11.320565693461432,Yes,Yes,2.3978952727983707,No,111.09455432198286,152324964,1879994705688,23.2163735324878,290521.0,156590819.0,44.15880433163923,3802500,7414875000
14,537,531369010,60,RL,96.0,10628,No,IR1,Lvl,Corner,Gtl,SawyerW,Norm,1Fam,2Story,7,1.791759469228055,2.8903717578961645,2004,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,1.6094379124341003,Unf,0.0,Unf,6.728628613084702,835.0,5,Y,SBrkr,6.77078942390898,6.848005274576363,0,7.502738210754851,0.0,2,0.6931471805599453,1.3862943611198906,4,2.1972245773362196,Typ,0.0,BuiltIn,2.8903717578961645,RFn,2.0,478.0,Y,4.990432586778736,4.5217885770490405,0.0,0,No,0,1,2009,WD ,Normal,12.170450649220749,Yes,Yes,0.0,No,103.09219175087898,112954384,1200479193152,21.863211109075447,228484.0,109215352.0,44.76605857119878,4016016,8048096064
15,2475,531375100,20,RL,63.0,13072,No,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,6,1.791759469228055,2.8903717578961645,2004,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,0.6931471805599453,ALQ,6.848005274576363,Unf,5.384495062789089,1158.0,5,Y,SBrkr,7.055312843339752,0.0,0,7.055312843339752,0.6931471805599453,1,0.6931471805599453,1.3862943611198906,4,1.791759469228055,Typ,0.0,Detchd,2.772588722239781,Unf,2.0,576.0,Y,0.0,3.9318256327243257,0.0,0,No,0,5,2006,New,Partial,11.970356641102999,Yes,Yes,0.0,No,114.33284742365161,170877184,2233706549248,24.0,331776.0,191102976.0,44.76605857119878,4016016,8048096064
16,1412,905452070,90,RL,50.0,9350,No,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,SFoyer,5,1.791759469228055,3.8501476017100584,1975,Gable,HdBoard,HdBoard,None,0.0,3,3,PConc,4,1.3862943611198906,GLQ,6.762729506931879,Unf,0.0,864.0,2,N,SBrkr,6.762729506931879,0.0,0,6.762729506931879,0.6931471805599453,1,0.0,1.0986122886681098,3,1.6094379124341003,Typ,0.0,Attchd,3.784189633918261,Unf,0.0,0.0,Y,0.0,0.0,0.0,0,No,0,4,2008,WD ,Normal,11.50892748368293,No,Yes,0.0,No,96.69539802906858,87422500,817400375000,0.0,0.0,0.0,44.44097208657794,3900625,7703734375
17,176,902125160,30,RM,47.0,4608,No,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1Story,4,1.9459101490553132,4.343805421853684,1950,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,0.6931471805599453,Unf,0.0,Unf,6.617402977974478,747.0,3,Y,SBrkr,6.617402977974478,0.0,0,6.617402977974478,0.0,1,0.0,1.0986122886681098,3,1.6094379124341003,Typ,0.0,Attchd,4.343805421853684,Unf,1.0,220.0,Y,0.0,0.0,0.0,0,No,0,6,2010,WD ,Normal,11.289794413577894,Yes,Yes,1.791759469228055,No,67.88225099390856,21233664,97844723712,14.832396974191326,48400.0,10648000.0,44.15880433163923,3802500,7414875000
18,122,534401140,20,RL,88.0,9680,No,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,1.9459101490553132,4.007333185232471,1967,Gable,Wd Sdng,Plywood,BrkFace,5.594711379601839,3,3,CBlock,3,0.6931471805599453,BLQ,6.918695219020472,Unf,6.2166061010848646,1510.0,5,Y,SBrkr,7.32052696227274,0.0,0,7.32052696227274,0.6931471805599453,2,0.0,1.3862943611198906,4,1.9459101490553132,Typ,0.0,Attchd,4.007333185232471,RFn,2.0,517.0,Y,0.0,3.713572066704308,0.0,0,Yes,0,4,2010,WD ,Normal,12.094587859196112,Yes,Yes,0.0,No,98.38699100999075,93702400,907039232000,22.737634001804146,267289.0,138188413.0,44.35087372307337,3869089,7610498063
19,1868,534128090,20,RL,108.0,11358,No,IR1,Lvl,Corner,Gtl,NWAmes,Norm,1Fam,1Story,7,2.0794415416798357,3.912023005428146,1987,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,0.6931471805599453,BLQ,5.849324779946859,Unf,6.658011045870748,1124.0,3,Y,SBrkr,7.384610383176974,0.0,0,7.384610383176974,0.0,2,0.0,1.3862943611198906,4,2.1972245773362196,Typ,0.6931471805599453,Attchd,3.912023005428146,RFn,2.0,515.0,Y,5.313205979041787,0.0,0.0,0,No,0,5,2007,WD ,Normal,12.128116509451258,Yes,Yes,2.772588722239781,No,106.57391800998967,129004164,1465229294712,22.693611435820433,265225.0,136590875.0,44.57577817604534,3948169,7845011803
20,2605,535382020,190,RL,60.0,10800,No,Reg,Lvl,Corner,Gtl,OldTown,Norm,2fmCon,1.5Fin,5,1.6094379124341003,4.804021044733257,1970,Gable,Wd Sdng,Wd Sdng,None,0.0,3,2,CBlock,3,0.6931471805599453,BLQ,6.499787040655854,Unf,5.673323267171493,954.0,3,N,FuseA,7.4770384723196965,6.47543271670409,0,7.789454566086673,0.0,2,0.0,1.3862943611198906,3,2.3978952727983707,Mod,0.6931471805599453,Attchd,3.9512437185814275,Unf,2.0,520.0,N,4.962844630259907,0.0,0.0,0,No,0,5,2006,ConLD,Normal,11.982935344196433,Yes,Yes,4.2626798770413155,No,103.92304845413264,116640000,1259712000000,22.80350850198276,270400.0,140608000.0,44.384682042344295,3880900,7645373000
21,952,914475030,85,RL,72.0,9360,No,Reg,Bnk,Inside,Gtl,Mitchel,Norm,1Fam,SFoyer,6,2.0794415416798357,3.8066624897703196,1977,Gable,Plywood,Plywood,None,0.0,3,3,CBlock,4,1.3862943611198906,GLQ,6.7357800142423265,LwQ,0.0,957.0,3,Y,SBrkr,7.160845906664299,0.0,0,7.160845906664299,0.6931471805599453,1,0.6931471805599453,1.0986122886681098,3,1.791759469228055,Typ,1.0986122886681098,Attchd,3.8066624897703196,RFn,2.0,541.0,Y,5.713732805509369,3.6888794541139363,0.0,0,Yes,0,11,2009,WD ,Normal,12.06105265381003,Yes,Yes,0.0,No,96.74709297958259,87609600,820025856000,23.259406699226016,292681.0,158340421.0,44.46346815083142,3908529,7727161833
22,2131,907192020,60,RL,68.0,9543,No,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,1.791759469228055,3.044522437723423,2001,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,6.740519359606223,845.0,5,Y,SBrkr,6.740519359606223,6.740519359606223,0,7.43307534889858,0.0,2,0.6931471805599453,1.3862943611198906,4,2.0794415416798357,Typ,0.0,Attchd,3.044522437723423,RFn,2.0,517.0,Y,0.0,4.6443908991413725,0.0,0,No,0,2,2007,WD ,Normal,12.15767515425465,Yes,Yes,0.0,No,97.68827974736786,91068849,869070026007,22.737634001804146,267289.0,138188413.0,44.73253849269008,4004001,8012006001
23,1932,535301160,90,RL,70.0,8078,No,Reg,Lvl,Inside,Gtl,NAmes,Norm,Duplex,1Story,5,1.791759469228055,4.1588830833596715,1958,Hip,Wd Sdng,Wd Sdng,Stone,5.564520407322694,3,3,CBlock,3,0.6931471805599453,Unf,0.0,Unf,7.353081920515432,1560.0,3,Y,SBrkr,7.353081920515432,0.0,0,7.353081920515432,0.0,2,0.0,1.6094379124341003,3,2.1972245773362196,Typ,0.0,Detchd,4.1588830833596715,Unf,2.0,484.0,Y,0.0,0.0,0.0,0,No,0,12,2007,WD ,Normal,11.76446986680519,Yes,Yes,0.0,No,89.87769467448528,65254084,527122490552,22.0,234256.0,113379904.0,44.24929377967517,3833764,7506509912
24,1069,528178090,60,RL,112.0,16451,No,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,1.791759469228055,2.9444389791664403,2003,Gable,VinylSd,VinylSd,BrkFace,5.402677381872279,4,3,PConc,5,1.6094379124341003,Unf,0.0,Unf,7.476472381163905,1765.0,5,Y,SBrkr,7.498315870766981,6.787844982309579,0,7.897668150726906,0.0,2,0.6931471805599453,1.6094379124341003,4,2.302585092994046,Typ,0.6931471805599453,BuiltIn,2.9444389791664403,Fin,3.0,795.0,Y,5.594711379601839,4.07753744390572,0.0,0,No,0,7,2008,WD ,Normal,12.821260987319457,Yes,Yes,0.0,No,128.26145173044003,270635401,4452222981851,28.19574435974337,632025.0,502459875.0,44.75488800120049,4012009,8036054027
25,1613,526352090,20,RL,85.0,10628,No,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,7,1.791759469228055,3.9512437185814275,1970,Flat,Plywood,Plywood,None,0.0,3,4,CBlock,3,1.6094379124341003,GLQ,6.658011045870748,Unf,6.214608098422191,1277.0,3,Y,SBrkr,7.15305163493748,0.0,0,7.15305163493748,0.6931471805599453,1,0.0,1.0986122886681098,3,1.791759469228055,Typ,0.6931471805599453,Attchd,3.9512437185814275,Unf,2.0,526.0,Y,0.0,0.0,0.0,0,Yes,0,4,2007,WD ,Normal,12.025755079404917,Yes,Yes,0.0,No,103.09219175087898,112954384,1200479193152,22.93468988235943,276676.0,145531576.0,44.384682042344295,3880900,7645373000
26,583,534128010,60,RL,68.0,10382,No,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,1.9459101490553132,3.8918202981106265,1973,Gable,HdBoard,HdBoard,Stone,5.484796933490655,3,3,CBlock,4,1.0986122886681098,ALQ,6.756932389247553,BLQ,5.37989735354046,1107.0,5,Y,SBrkr,7.010311867307229,6.891625897052253,0,7.645397699428633,0.6931471805599453,2,0.6931471805599453,1.3862943611198906,3,2.0794415416798357,Typ,1.0986122886681098,Attchd,3.8918202981106265,RFn,2.0,484.0,Y,5.4638318050256105,5.3230099791384085,5.43372200355424,0,No,350,11,2009,WD ,Normal,12.206077645517674,Yes,Yes,0.0,No,101.89209979188769,107785924,1119033462968,22.0,234256.0,113379904.0,44.41846462902562,3892729,7680354317
27,1898,534427140,20,RL,75.0,7388,No,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,1.9459101490553132,4.143134726391533,2002,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,0.6931471805599453,Rec,6.0063531596017325,Unf,6.490723534502507,1063.0,4,Y,SBrkr,7.191429330036379,0.0,0,7.191429330036379,0.6931471805599453,1,0.0,1.3862943611198906,4,2.0794415416798357,Typ,0.0,Detchd,3.871201010907891,Unf,2.0,624.0,Y,0.0,0.0,0.0,0,No,0,7,2007,WD ,Normal,11.923384748066601,Yes,Yes,3.784189633918261,No,85.9534757877772,54582544,403255835072,24.979991993593593,389376.0,242970624.0,44.74371464239419,4008004,8024024008
28,2311,527105060,60,RL,60.0,8238,No,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,1.791759469228055,3.2188758248682006,1998,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3,0.6931471805599453,GLQ,6.55250788703459,Unf,4.736198448394496,813.0,5,Y,SBrkr,6.70196036600254,6.569481420414296,0,7.330405211844402,0.6931471805599453,2,0.6931471805599453,1.3862943611198906,3,1.9459101490553132,Typ,0.6931471805599453,Attchd,3.2188758248682006,Fin,2.0,400.0,Y,6.045005314036012,4.290459441148391,0.0,0,No,0,5,2006,WD ,Normal,12.119975396053194,Yes,Yes,0.6931471805599453,No,90.76342875850384,67864644,559068937272,20.0,160000.0,64000000.0,44.69899327725402,3992004,7976023992
29,2035,903454090,50,RM,50.0,9000,No,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Fin,6,1.9459101490553132,4.442651256490317,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,3,0.6931471805599453,Unf,0.0,Unf,6.660575149839686,780.0,3,Y,SBrkr,6.660575149839686,6.39024066706535,0,7.226936018493289,0.0,1,0.6931471805599453,1.3862943611198906,4,1.9459101490553132,Typ,0.6931471805599453,Detchd,3.7612001156935624,Unf,1.0,544.0,P,0.0,5.093750200806762,0.0,0,No,0,12,2007,WD ,Normal,11.856522261533737,Yes,Yes,2.6390573296152584,No,94.86832980505137,81000000,729000000000,23.323807579381203,295936.0,160989184.0,44.15880433163923,3802500,7414875000
30,2929,924100070,20,RL,77.0,10010,No,Reg,Lvl,Inside,Mod,Mitchel,Norm,1Fam,1Story,5,1.791759469228055,3.871201010907891,1975,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,1.3862943611198906,ALQ,6.977281341630747,LwQ,5.278114659230517,1389.0,4,Y,SBrkr,7.237059026124737,0.0,0,7.237059026124737,0.6931471805599453,1,0.0,1.0986122886681098,3,1.9459101490553132,Typ,0.6931471805599453,Attchd,3.8501476017100584,RFn,2.0,418.0,Y,5.484796933490655,3.6635616461296463,0.0,0,No,0,4,2006,WD ,Normal,12.04355959836804,Yes,Yes,0.6931471805599453,No,100.0499875062461,100200100,1003003001000,20.445048300260872,174724.0,73034632.0,44.44097208657794,3900625,7703734375
31,1944,535354050,45,RL,60.0,9600,No,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1.5Unf,5,2.0794415416798357,4.290459441148391,2003,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,0.6931471805599453,ALQ,5.3981627015177525,Unf,6.439350371100098,845.0,3,Y,SBrkr,6.795705775173514,0.0,0,6.795705775173514,0.0,1,0.0,1.0986122886681098,4,1.6094379124341003,Typ,0.0,Detchd,3.6109179126442243,Unf,2.0,576.0,Y,0.0,0.0,0.0,0,No,0,5,2007,WD ,Normal,11.813037464800539,Yes,Yes,4.007333185232471,No,97.97958971132712,92160000,884736000000,24.0,331776.0,191102976.0,44.75488800120049,4012009,8036054027
32,136,535106190,90,RL,80.0,11600,No,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Duplex,2Story,5,1.791759469228055,4.127134385045092,1960,Gable,MetalSd,MetalSd,BrkFace,5.8916442118257715,3,3,CBlock,3,0.6931471805599453,Rec,6.095824562432225,Unf,6.4967749901858625,1105.0,3,Y,FuseA,7.00850518208228,7.064759027791802,0,7.729735331385051,0.0,2,0.0,1.791759469228055,3,2.5649493574615367,Typ,0.0,Detchd,4.127134385045092,Unf,2.0,480.0,Y,0.0,0.0,0.0,0,No,0,1,2010,WD ,Normal,11.946660519211651,Yes,Yes,0.0,No,107.70329614269008,134560000,1560896000000,21.908902300206645,230400.0,110592000.0,44.27188724235731,3841600,7529536000
33,65,528382030,60,RL,58.0,16770,No,IR2,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,7,1.791759469228055,3.1780538303479458,1998,Gable,VinylSd,VinylSd,BrkFace,3.4339872044851463,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,7.086737934510577,1195.0,4,Y,SBrkr,7.086737934510577,6.4692503167957724,0,7.517520850603031,0.0,2,0.6931471805599453,1.6094379124341003,3,2.0794415416798357,Typ,0.0,Attchd,3.1780538303479458,Fin,2.0,486.0,Y,0.0,4.406719247264253,0.0,0,No,0,6,2010,WD ,Normal,12.30592250537653,Yes,Yes,0.0,No,129.4990347454374,281232900,4716275733000,22.045407685048602,236196.0,114791256.0,44.69899327725402,3992004,7976023992
35,2893,916252170,120,RM,68.0,8239,No,IR1,Lvl,Inside,Gtl,GrnHill,Norm,TwnhsE,1Story,7,1.791759469228055,3.58351893845611,1986,Gable,BrkFace,Wd Sdng,None,0.0,4,3,CBlock,3,0.6931471805599453,GLQ,0.0,Unf,0.0,0.0,4,Y,SBrkr,7.16703787691222,0.0,0,7.16703787691222,0.0,2,0.0,1.0986122886681098,4,1.791759469228055,Typ,0.0,Attchd,3.58351893845611,RFn,1.0,312.0,Y,0.0,0.0,0.0,0,No,0,11,2006,WD ,Normal,12.345838935721968,Yes,No,0.0,No,90.76893741803966,67881121,559272555919,17.663521732655695,97344.0,30371328.0,44.56455991031439,3944196,7833173256
